 ,Label,Area,Mean,Min,Max,Angle,Slice,Length
1,CIL2878_fluorescence_stack.tif:6.333333 s,7,169.453,127.938,255.000,0.000,39,6.375
2,CIL2878_fluorescence_stack.tif:9.333333 s,39,139.522,34.320,254.196,-12.995,57,37.801
